DE;EN;DA;ES;CS;SV;
ERP-Maschine;ERP-Machine;-;-;-;-;
ERP-Meldung;ERP-Message;-;-;-;-;
ERP-Soll;ERP-Set;-;-;-;-;
ERP-Start;ERP-Start;-;-;-;-;
ERPGRUPPE;ERP_GROUP;-;-;-;-;
ERPImport Änderung;Change of ERP import;-;-;-;Ändring ERP import;
ERPImport Prüfen;Check ERP import;-;-;-;Kontrollera ERP import;
ERPMASCHINE;ERP_MACHINE;-;-;-;-;
Erpmaschine;ERP machine;-;-;-;ERP-maskin;
error;Error;-;-;-;fel;
Ersteller;Author;-;-;-;-;
Erstellt durch;Prepared by;-;-;-;-;
Erstellung am;Setting at;-;-;-;Skapat den;
erster;First;Opretet;-;-;första;
Erster Fehler;First error;-;-;-;-;
Ersterstart;first start;-;-;-;-;
Erweitert;Extended;Udvidet;-;-;Utvidgat;
Erzeugen;Create;-;Crear;-;Skapa;
Erzeugen eines Auftrages in der MDE;Create order in RTM;-;-;-;Skapa ett uppdrag i MDE;
Erzeugt;Created;Fremstillet;-;-;Skapat;
erzeugt;created;-;-;-;skapat;
Es gibt bereits einen Vergleich mit dieser Bezeichnung;Comparison description already exists;Der findes allerede en sammenligning med dette navn;Ya existe una comparación con esta designación;-;Det existerar redan en jämförelse med denna beteckning;
Es ist;It is;-;-;-;Det är;
Es ist ein Fehler beim Excelexport aufgetreten;An fault occured while exporting to excel;Der er optrådt en fejl ved eksporten til excel;Error en la exportación a Excel;-;Ett fel har uppträtt under Excel-exporten;
Es ist eine Meldung;There is a Message;-;-;-;Det är ett meddelande;
ES IST NIEMAND DIESER SCHICHT ZUGEORDNET;NO ONE ASSIGNED TO THIS SHIFT;DETTE SKIFT HAR IKKE NOGET PERSONALE;-;-;INGEN HAR TILLDELATS DETTA SKIFT;
Es können nur Stillstände bearbeitet werden, die größer sind als 10 min;Downtime must be > 10 min;-;Sólo se pueden solucionar bloqueos superiores a 10 min.;-;Endast stillestånd som är större än 10 min kan bearbetas;
Es werden alle Zuordnungen entfernt;All allocation will be deleted;-;-;-;Alla tillordningar avlägsnas;
Es wurde bisher noch keine Reparatur an diesem Werkzeug vorgenommen;No repair has been made to this mold;Indtil dato er der ikke repareret på dette værktøj;Esta herramienta no ha sido sometida todavía a una reparación;-;Hittills har inga reparationer genomförts på detta verktyg;
ESC - Abbruch;ESC - Cancel;ESC - Afbryd;-;-;ESC - avbryt;
ESC - Abschliessen;ESC - Close;-;-;-;-;
ESC - Fenster schliessen;ESC - Close window;ESC - luk vindue;-;-;ESC - stäng fönstret;
ESC - Schließen;ESC - Close;-;-;-;-;
Estimated End Date;Estimated end date;-;-;-;-;
Etikett;Label;Etiket;-;-;Etikett;
ETIKETT;Label;-;-;-;ETIKETT;
Etikett 2 in Werkzeugliste anezeigen;Show Etikett 2 in mold list;-;-;-;-;
Etikett 2 in Werkzeugliste anzeigen;Show label2 in mold list;-;-;-;-;
Etikett drucken;Print label;-;-;-;-;
Etikett eingeben;Enter label;-;-;-;Mata in etikett;
Etikett Layout;Label layout;-;-;-;Etikett-layout;
Etikett nachdrucken;Rerpint label;-;-;-;-;
Etikett nicht gefunden;Label not found;-;-;-;-;
Etikett-Nr;Label-No;-;-;-;-;
Etiketten;Labels;-;-;-;Etiketter;
Etiketten Details;Label details;-;-;-;Etikett-detaljer;
Etiketten direkt drucken;Print label direct;-;-;-;Skriv ut etiketter direkt;
Etiketten drucken;Print labels;Print etiketter;-;-;Skriv ut etiketter;
Etiketten Kopien;Copies of labels;-;-;-;-;
Etiketten Layout;Label layout;-;-;-;Etikett-layout;
Etiketten-Druck;Label-printing;-;-;-;Etikett-utskrift;
Etiketten-Layout anwählen;Select label-layout;-;-;-;Välj etikett-layout;
Etikettenanzahl;Amount labels;-;-;-;Antal etiketter;
Etikettendruck;Label printing;-;-;-;Etikett-utskrift;
Etikettenlayout;Label layout;-;-;-;Etikett-layout;
Etikettentyp;Label type;-;-;-;Etikett-typ;
Etikettenzahl angeben, ab der gedruckt werden soll;Input label no, which is start no;-;-;-;Ange etikettnumret från och med vilket utskriften skall börja;
Events;Events;-;-;-;Evenemang;
Eventsexport gelöscht;Events export deleted;-;-;-;Evenemangexport raderad;
Eventstyp;Type of event;-;-;-;Typ av evenemang;
Excel files (*.xls)|*.xls|All files (*.*)|;Excel files (*.xls)|*.xls|all files (*.*)|;-;-;-;Excel-filer (*.xls)|*.xls|Alla filer (*.*)|;
Excel konnte nicht gestartet werden;Excel could not be started;Excel kunne ikke startes;-;-;Excel kunde ej startas;
Excel-Datei (*.xls)|*.xls|Alle Dateien (*.*)|;Excel files (*.xls)|*.xls|all files (*.*)|;-;-;-;Excel-fil (*.xls)|*.xls|Alla filer (*.*)|;
Exception - Auftrag.Verpacken;Execption - Job packaging;-;-;-;-;
Exe-Datei|*.exe|Alle Dateien|;Exe-file|*.exe|all files;-;-;-;Exe-fil |*.exe|Alla filer|;
Exefilename;Exe file name;-;-;-;Exe-filnamn;
Exefilesize;Exe file size;-;-;-;Exe-filstorlek;
existiert nicht;Does not exist;-;-;-;existerar ej;
Exitcode;Exitcode;-;-;-;Exitcode;
Export;Export;-;-;-;Export;
Export (Excel;Export (Excel;-;-;-;-;
Export Auftragsliste;Export joblist;-;-;-;Export uppdragslista;
Export Buffer Events;Export buffer events;-;-;-;Export buffert händelser;
Export Buffer periodisch;Export buffer periodically;-;-;-;Export buffert periodiskt;
Export der Auftragsdaten an ERP System;Export of job date to ERP system;-;-;-;Export av uppdragsdata till ERP-system;
Export Einstellungen;Export Settings;-;-;-;Export-inställningar;
Export Setup;Export Setup;-;-;-;Export inställning;
Export Stillstand;Export downtime;-;-;-;Export stillestånd;
Export Tabelle periodisch;Export table periodically;-;-;-;Export tabell periodiskt;
Export to CSV;export to CSV;-;-;-;Export till CSV;
Export to Excel;Export to excel;Export til excel;Exportar a Excel;-;Export till Excel;
Export-Import;Export-import;-;-;-;Export-import;
Export-Setup;Export Setup;-;-;-;Export inställning;
Export-Verzeichnis;Export-index;-;-;-;Export-katalog;
Export-Verzeichniss;Export directory;-;-;-;Export-katalog;
Externen Materialreport verwenden;use external material report;-;-;-;-;
Extrusion;Extrusion;-;-;-;Extrusion;
F - Auftragsfortschritt senden;F – send progress towards completion;-;-;-;F - sända uppdragsframsteg;
F1 - Kg;F1 - Kg;-;-;-;F1 - kg;
F1 - Maschine;F1 - Machine;F1 - Maskiner;-;-;F1 - maskin;
F2 - m;F2 - m;-;-;-;F2 - m;
F3 - Stück;F3 – pcs;-;-;-;F3 - styck;
fach;Times;Kaviteter;-;-;gånger;
fach drucken;times print;-;-;-;gånger utskrivet;
fach Maschine;-;-;-;-;-;
Faktor;Multiplier;-;-;-;Faktor;
Faktoren;factors;-;-;-;-;
Falsche Charge gebucht;Wrong batch no booked;-;-;-;Fel lott bokad;
Falsche Eingabe;Wrong entry;-;-;-;-;
Falsche Freigabe-Nr;Wrong release-no;-;-;-;Fel frisläppningsnr.;
Falsche Kennwort;Wrong password;-;-;-;Fel lösenord;
Falsche Kunde;Wrong client;-;-;-;Fel kund;
Falsche Kunden-Nr;Wrong client-no;-;-;-;Fel kundnr.;
Falsche Liefertermin;Wrong delivery date;-;-;-;Fel leveransdatum;
Falsche Maschine;-;Forkert maskine;-;-;-;
Falsche Maschinengruppe;Wrong machine group;-;-;-;Fel maskingrupp;
Falsche Maschinenkavität;Wrong machine cavity;-;-;-;Fel maskinkavitet;
Falsche Packgröße;Wrong packsize;-;-;-;Fel packningsstorlek;
Falsche Palette;Wrong palette;-;-;-;Fel pall;
Falsche Rechner-Nr;Wrong computer no;-;-;-;-;
Falsche RNR;Wrong rno;-;-;-;Fel r-nr;
Falsche Rüstzeit;Wrong set up time;-;-;-;Fel riggningstid;
Falsche Sollmenge;Wrong quantity;-;-;-;Fel bör-mängd;
Falsche Sollwert in AUFTRAG;Incorrect quantity in job;-;-;-;Fel bör-värde i UPPDRAG;
Falsche Sollwert in MASCHINF;Incorrect set value in machine;-;-;-;Fel bör-värde i MASKINF;
Falsche Sollwert in PDE;Incorrect set value in PDE-table;-;-;-;Fel bör-värde i PDE;
Falsche Sollwert in PDEKOMBI;Incorrect set value in PDE combi-table;-;-;-;Fel bör-värde i PDEKOMBI;
Falsche Sollwert in PDENEU;Incorrect set value in PDE new-table;-;-;-;Fel bör-värde i PDENY;
Falsche Sollwert in PDESTAMM;Incorrect set value in PDE master file table;-;-;-;Fel bör-värde i PDESTAM;
Falsche Werkzeug;Wrong mold;-;-;-;Fel verktyg;
Falsche Werkzeugstandzeit;Wrong mold lifetime;-;-;-;Fel verktygsståndtid;
Falsche Zeit;Wrong time;-;-;-;-;
Falsche Zykluszeit;Wrong cycle time;-;-;-;Fel cykeltid;
Falscher Maschinenstandort;Wrong machine location;-;-;-;Fel maskinposition;
Falscher Sollwert in PDEKOMBI;Wrong set value in PDEKOMBI;-;-;-;-;
Falscher Sollwert in PDENEU;Wrong set value in PDENEU;-;-;-;-;
Falscher Sollwert in PDESTAMM;Wrong set value in PDESTAMM;-;-;-;-;
Falscher Status;Error: Wrong job status;-;-;-;Fel status;
falsches Feld;invalid field;-;-;-;fel fält;
Falsches Kennwort;Wrong password;-;-;-;Fel lösenord;
Falsches Stillstandsschlüssel;Wrong dowtime key;-;-;-;Fel stilleståndsnyckel;
Farbbez;Color des;-;-;-;Färg-bet.;
Farbbezeichnung;Color description;-;-;-;Färgbeteckning;
Farbdosierung in s;Color dosage in s;-;-;-;Färgdosering i s;
Farbdosierung s;Color dosage s;Farvedosering s;-;-;Färgdosering s;
Farbe;Color;Farve;-;-;Färg;
FARBE;COLOR;-;-;-;FÄRG;
Farbe bearbeiten;Edit color;-;-;-;Redigera färg;
Farbe eingeben;Enter color;-;-;-;Mata in färg;
Farbe löschen;Delete color;-;-;-;Radera färg;
Farbe vis;Color visual;-;-;-;-;
Farbe-Nr;Color No;-;-;-;Färg-nr;
Farbebatch;Color batch;Farvebadge;-;-;Färgbatch;
Farben;Colors;Farver;-;-;Färger;
FARBENR;COLORNO;-;-;-;FÄRGNR;
Farbgewicht;Color weight;-;-;-;Färgvikt;
Farbliste;Color list;-;-;-;Färglista;
FarbNr;Color no;-;-;-;Färg-nr;
Farbzuordnung bei Auftragseingabe;Color assignment at job entry;-;-;-;Tillordning av färg vid uppdragsregistrering;
Fataler Fehler: Auftrag nicht gefunden;Critical fault: job not found;Alvorlig fejl: Ordren kunne ikke findes;Error fatal: tarea no identificada;-;Fatalt fel: uppdrag kunde ej hittas;
Fataler Fehler: Datenbankname nicht initialisiert;Critical fault: database name not initialled;Alvorlig fejl: Databasen er ikke initialiseret;Error fatal: nombre de banco de datos sin inicializar;-;Fatalt fel: databasnamnet ej initialiserat;
Fataler Fehler: Konnte nicht in Registry schreiben;Fatal error: could not write in registry;-;Error fatal: no se pudo escribir en el registro;-;Fatalt fel: kunde ej skriva till registry;
Fataler Fehler: Verbindungsaufbau zur Datenbank fehlgeschlagen;Critical fault: incorrect connection to database;Alvorlig fejl: Forbindelsen til databasen slog fejl;Error fatal: error al establecer la conexión;-;Fatalt fel: förbindelsen till databasen har slagit fel;
Fax;Fax;-;-;-;Fax;
Feb;feb;-;-;-;Feb;
Februar;February;Februar;Febrero;-;Februari;
Fehler;Error;Fejl;-;-;Fel;
Fehler am;Error at;-;-;-;Fel vid;
Fehler anzeigen;Show error;-;-;-;Visa fel;
Fehler Auftrag beenden;Error finish job;-;-;-;Fel vid avsluta uppdrag;
Fehler Auftrag löschen;Error delete job;-;-;-;Fel vid radera uppdrag;
Fehler Auftrag rüsten. Fehler-Nr;Error: Job set up;-;-;-;Fel vid riggning uppdrag. Fel-nr;
Fehler Auftrag starten;Error start job;-;-;-;Fel vid start uppdrag;
Fehler Auftrag starten: laufenden Auftrag beenden;Error start job: finish running job;-;-;-;Fel vid start uppdrag: avsluta löpande uppdrag;
Fehler Auftrag starten. Fehler-Nr;Error start job. Error no;-;-;-;Fel vid start uppdrag. Fel-nr;
Fehler Auftrag unterbrechen;Error job interrupted;-;-;-;Fel vid avbrott uppdrag;
Fehler Auftrag unterbrechen. Auftrag wird gerüstet;Error interupt job. Job is in set up;-;-;-;-;
Fehler Auftrag unterbrechen. Fehler-Nr;Error: interrupt job. Error no;-;-;-;-;
Fehler Auftrag-Start: kein Auftrag angelegt;Error job-start: no job created;-;-;-;Fel vid uppdragsstart: uppdrag ej skapat;
Fehler Auftrag-Start... FehlerNr;Error order-start... error no;-;-;-;Fel vid uppdragsstart ... fel-nr;
Fehler Auftrag: Schlüsselschalter prüfen;Error job: check key switch;-;-;-;Fel vid uppdrag: kontrollera nyckelomkopplare;
Fehler Auftragsstart;Fault at start of job;Fejl ved start af ordre;-;-;Fel vid uppdragsstart;
Fehler Ausschuss buchen;Error book scrap;-;-;-;-;
Fehler bei Auftragende;Fault at end of the job;Fejl i ordren;-;-;Fel vid uppdragsslut;
Fehler bei Auftragstart;Error at start of job;-;-;-;Fel vid uppdragsstart;
Fehler bei Auftragstart über Barcode... Auftrag;Error in job start by barcode ... job;-;-;-;Fel vid uppdragsstart via streckkod ... uppdrag;
Fehler bei Auftragunterbrechung;Error at calculation of job;-;-;-;Fel vid avbrott av uppdrag;
Fehler bei Buchung;Error: Booking;-;-;-;Fel vid bokning;
Fehler bei Buchung (Kartonnummer ungültig;Booking error (Box no not valid;-;-;-;-;
Fehler bei der Datumsumwandlung;Error in date conversion;-;-;-;Fel vid datumskonverteringen;
Fehler bei der Konvertierung des Istwertes... (String -> Integer;Error: converting the current amounts (String -> Integer;-;-;-;Fel vid konvertering av är-värdet ... (string -> integer;
Fehler bei Umbenennung;Error - while renaming;-;-;-;Fel vid ombenämning;
Fehler beim abmelden;Error: Invalid log out;-;-;-;Fel vid utloggningen;
Fehler beim Ändern der Kavität;Error in changing cavity;-;-;-;-;
Fehler beim anlegen;Error creating;-;-;-;-;
Fehler beim anmelden;Error: Invalid log in;-;-;-;Fel vid inloggningen;
Fehler beim aufräumen der Protokolle ! Siehe Log - Datei;Error in cleaning up protocols ! view log – file;-;-;-;Fel vid rensning av protokollen! Se logg-filen;
Fehler beim Gutmenge buchen;Error by booking good parts;-;-;-;-;
Fehler beim lesen der Registrierung;Error read out regestry;-;-;-;-;
Fehler beim Lesen der Spalten-Werte;Error: reading row value;Fejl ved indlæsning af værdier i spalten;Error al leer los valores de las columnas;-;Fel vid läsning av kolumnvärdena;
Fehler beim Löschen in Tabelle;Error delete table;-;-;-;Fel vid radering i tabell;
Fehler beim Schreiben der Spalten-Werte;Error writing column configuration;Fejl i skrivning af spalteværdi;Error al introducir valores en las columnas;-;Fel vid skrivning av kolumnvärdena;
Fehler beim speichern;Error by saving;-;-;-;-;
Fehler beim SQL-Export;Error in SQL-export;-;-;-;Fel vid SQL-export;
Fehler beim Start der Anwendung;Error in executing application;-;-;-;Fel vid start av applikation;
Fehler beim Verbindungsaufbau zum Datenbankserver;Error while connecting to server;Alvorlig fejl: Forbindelsen til database-serveren slog fejl;Error al establecer la conexión con el servidor de bancos de datos;-;Fel vid förbindelse till databasservern;
Fehler ExecSQL, VersionInfo;Error execSQL, versioninfo;-;-;-;Fel execSQL, versionsinformation;
Fehler in Filter;Error in filter;-;-;-;Fel i filter;
Fehler in Funktion ~varToInt;Error in function ~varToInt;-;-;-;Fel i funktionen ~varToInt;
Fehler in Kavität;Error in cavity;Fejl i kavitet;-;-;Fel i kavitet;
Fehler in Maschinentabelle;Error in machine table;-;-;-;Fel i maskintabellen;
Fehler in Werkzeugtabelle;Error in mold table;-;-;-;Fel i verktygstabellen;
Fehler Kavität;Error cavity;-;-;-;-;
Fehler Rep.Abmeldung: Reparatur nicht bekannt;Error rep. sign off : repair unknown;-;-;-;Fel vid reparationsavmälan: reparation ej känd;
Fehler SPC-Auftragberechnung: keine Sollwerte und Toleranzen;Error SPC-Jobcalculation: no set values and tolerances;-;-;-;Fel vid SPC-uppdragsberäkning: inga bör-värden och toleranser;
Fehler SPC-Auftragberechnung: ungültige AuftragNr;Error SPC-Jobcalculation: invalid Job No.;-;-;-;Fel vid SPC-uppdragsberäkning: ogiltigt uppdragsnr;
Fehler SPC-Auftragberechnung: zu wenig Meßwerte;Error SPC-Jobcalculation: to few measurements;-;-;-;Fel vid SPC-uppdragsberäkning: för få måttvärden;
Fehler SPC-Schichtberechnung: keine Sollwerte und Toleranzen;Error SPC-Shiftcalculation: no set values and tolerances;-;-;-;Fel vid SPC-skiftberäkning: inga bör-värden och toleranser;
Fehler SPC-Schichtberechnung: ungültige AuftragNr;Error SPC-Shiftcalculation: invalid Job No.;-;-;-;Fel vid SPC-skiftberäkning: ogiltigt uppdragsnr;
Fehler SPC-Schichtberechnung: zu wenig Meßwerte;Error SPC-Shiftcalculation: to few measureents;-;-;-;Fel vid SPC-skiftberäkning: för få måttvärden;
Fehler SPC-Sollwerte lesen: ungültige ArtikelNr;Error SPC-Set values read: invalid Part No.;-;-;-;Fel vid läsning av SPC-bör-värden: ogiltigt varunr;
Fehler: Anderer Auftrag wird bereits gerüstet;Error: Another job is being set up;Fejl: En anden ordre er allerede monteret;Error: se está preparando otra tarea;-;Fel: annat uppdrag riggas just nu;
Fehler: Anzahl_Maschinen;Error: No of_machines;-;-;-;Fel: antal_maskiner;
Fehler: Auftrag abgeschlossen;Error: Job not finished;-;-;-;Fel: uppdrag stängt;
Fehler: Auftrag abschliessen;Error: Close job;-;-;-;Fel: stäng uppdrag;
Fehler: Auftrag anlegen;Error: create job;-;-;-;Fel: skapa uppdrag;
Fehler: Auftrag beenden;Error: Finish job;-;-;-;Fel: avsluta uppdrag;
Fehler: Auftrag einlegen;Error: Job;-;-;-;-;
Fehler: Auftrag konnte nicht gestartet werden. Erneut versuchen;Error: Could not start job. Try again.;Fejl: Ordren kunne ikke startes, forsøg en gang til;Error: la tarea no puede iniciarse. Intentar de nuevo;-;Fel: uppdrag kunde ej startas. Försök igen;
Fehler: Auftrag läuft nicht;Error: Job not running;-;-;-;Fel: uppdrag körs ej;
Fehler: Auftrag löschen;Error: Delete job;-;-;-;Fel: radera uppdrag;
Fehler: Auftrag nicht bekannt;Error: Job no unknown;-;-;-;Fel: okänt uppdrag;
Fehler: Auftrag nicht freigegeben;Error: job not released;-;-;-;-;
Fehler: Auftrag Reaktivierung;Error: Reactivate job;-;-;-;Fel: återaktivera uppdrag;
Fehler: Auftrag schon vorhanden;Error: Job no still exists;-;-;-;Fel: uppdrag existerar redan;
Fehler: Auftrag starten;Error: Start job;-;-;-;Fel: starta uppdrag;
Fehler: Auftrag unterbrechen;Error: Interrup job;-;-;-;Fel avbryt uppdrag;
Fehler: Auftragsstatus;Error: Job status;-;-;-;Fel: uppdragsstatus;
Fehler: Auftragstart. Nr;Error: job start no;-;-;-;Fel: uppdragsstartnr.;
Fehler: Ausschuss buchen;Error: Scrap booking;-;-;-;Fel: boka utskott;
FEHLER: Berechnung der Minuten vom Schichtanfang bis;ERROR : Calculation of time from shift begin to;-;-;-;FEL: beräkning av minuter från skiftets början till;
Fehler: bitte erneut scannen;-;Fejl: scan venligst igen;-;-;-;
Fehler: Das Einfügen der Daten in Datenbank schlug fehl;Error: There was a error at insert of data in database;Fejl. Indføjningen af data i databasen slog fejl;-;-;Fel: skrivning av data till databasen slog fel;
Fehler: Das Einfügen der Stammdaten in Datenbank schlug fehl;Error: incorrect insertion of master files in database;-;-;-;Fel: skrivning av stamdata till databasen slog fel;
Fehler: Datei ist nicht überscreibbar;Error: File is readonly;-;-;-;-;
Fehler: Daten_schreiben;Error: write_data;-;-;-;Fel: skriva_data;
Fehler: Datenbank nicht aktiv;Error: Database not active;-;-;-;Fel: databasen är ej aktiv;
Fehler: Datenbank Problem;Error: database problem;-;-;-;-;
Fehler: Falsches Feld;Error: Invalid field no;-;-;-;Fel: fel fält;
Fehler: Import-Datei nicht gefunden;Error: Import file is missing;-;-;-;-;
Fehler: Karton;Error: Box;-;-;-;Fel: kartong;
Fehler: Kavität;Error: Cavity;-;-;-;Fel: kavitet;
Fehler: Kavität ändern;Error: Cavity change;-;-;-;Fel: ändra kavitet;
Fehler: keine Artikel-Nr;Error: no part No;-;-;-;Fel: inget varunummer;
Fehler: keine Auftrag-Nr;Error: no job No;-;-;-;Fel: inget uppdragsnummer;
Fehler: Keine Auftragsdaten gefunden;Error: no job data found;Fejl. Ingen ordredata fundet;-;-;Fel: uppdragsdata kunde ej hittas;
Fehler: keine Bezeichnung;Error: no job description;-;-;-;Fel: ingen beteckning;
Fehler: Konnte;Error: could;-;-;-;Fel: kunde;
Fehler: Konnte Auftragsdaten nicht aus der Datenbank holen;Error: job data cannot be retrieved form database;Fejl. Ordredata kan ikke findes i databasen;-;-;Fel: kunde ej hämta uppdragsdata från databasen;
Fehler: Konnte Auftragsdaten nicht in die Datenbank schreiben;Error: job data can`t be written in database;Fejl. Ordredata kunne ikke skrives ind i databasen;-;-;Fel: kunde ej skriva uppdragsdata till databasen;
Fehler: Konnte Einstelldaten nicht finden;Error: Can´t find set up data;-;-;-;-;
Fehler: Konnte Export nicht starten;Error: could not start export;-;-;-;Fel: kunde ej starta exporten;
Fehler: Konnte Index nicht erstellen;Error: Could not set up index;Fejl: Kunne ikke kreere et index;Error: no se ha podido crear un índice;-;Fel: kunde ej skapa index;
Fehler: Konnte nicht in Registrierung schreiben;Error: could not wirte in registry;-;-;-;Fel: kunde ej skriva till registry;
Fehler: Kunde-Nr;Error: Customer no;-;-;-;Fel: kundnummer;
Fehler: Laufzeit;Error: system runtime;Fejl: Løbetid;-;-;Fel: löptid;
Fehler: LT;Error: Delivery date;-;-;-;Fel: LD;
Fehler: Maschine belegt;Error: Machine allocated;Fejl: Maskine er optaget;Error: máquina ocupada;-;Fel: maskinen är upptagen;
Fehler: negative Betriebsstunden / Maschine;Error : negative operating hours / machine;-;-;-;Fel: negativa drifttimmar / maskin;
Fehler: negative LaufzeitGes / Maschine;Error: negative runtime tot / machine;-;-;-;Fel: negativ total körtid / maskin;
Fehler: negative LaufzeitSchicht / Maschine;Error: negative runtime shift/machine;-;-;-;Fel: negativ körtid skift / maskin;
Fehler: Palette;Error: Palet;-;-;-;Fel: pall;
Fehler: Produktion buchen;Error: book production;-;-;-;Fel: boka produktion;
Fehler: Produktionsstatistik;Error: production statistic;-;-;-;-;
Fehler: Programmstart ist größer als Programmende;Error: Start time of program is larger than its end;Fejl: Programstart er større end programslut;Error: el inicio del programa es mayor que el final del programa;-;Fel: programstarten ligger efter programslutet;
Fehler: Report;Error: report;-;-;-;Fel: rapport;
Fehler: Reporte nicht im Ordner .\Reports gefunden;Error: roports not found in folder .\reports;-;-;-;-;
Fehler: Rüstzeit;Error: Set up time;-;-;-;Fel: riggningstid;
Fehler: Sollmenge;Error: Quantity;-;-;-;Fel: bör-mängd;
Fehler: Stillstand buchen;Error: Downtime booking;-;-;-;Fel: boka stillestånd;
Fehler: Stillstandsgrund;Error: Downtime code;-;-;-;Fel: orsak för stillestånd;
Fehler: Stillstandsnr nicht gefunden;Error: downtime no. not found;Fejl: Stilstandsnr. Er ikke fundet;Error: no se ha identificado el número de la interrupción;-;Fel: stilleståndsnummer kunde ej hittas;
Fehler: Stillstandsschlüssel;Error: Downtime key;-;-;-;Fel: stilleståndsnyckel;
Fehler: Stückzahl buchen;Error: Booking parts;-;-;-;Fel: boka stycktal;
Fehler: Tabelle ~SETUP;Error: Table ~setup;-;-;-;Fel: tabell ~setup;
Fehler: Taktzeit;Error: Cycletime;-;-;-;Fel: takttid;
Fehler: UeberwachungszeitBerechnen;Error Monitoring time calculation;-;-;-;-;
Fehler: unbekannte Maschine;Error: Machine no unknown;-;-;-;Fel: okänd maskin;
Fehler! ExecSQL, VersionInfo;Error! ExecSQL, versioninfo;Fejl! ExecSQL, versionsinfo;Error! ExecSQL, versión info;-;Fel! ExecSQL, versionsinformation;
Fehler! Sollausstoss;Error! set output;-;-;-;Fel! Bör-produktion;
Fehler! Sollausstoss gleich;Error! same set output;-;-;-;Fel! Bör-produktion identisk;
Fehler. Tabelle AARchiv;Error: in Table archive;Fejl i file A Arkiv;-;-;Fel. Tabell AARchiv;
Fehler. Tabelle MaschGruppen;Error: machine group table;Fejl. Maskingruppe tabel;-;-;Fel. Tabell Maskingrupp;
Fehler. Tabelle Maschine;Error:  machine table;Fejl. Maskin tabel;-;-;Fel. Maskintabell;
Fehler. Tabelle PDE;Error: table PDE;Fejl. PDE tabel;-;-;Fel. Tabell PDE;
fehlerhaftes Etikett;Error label;-;-;-;-;
Fehlerhaftes Layout: Behebung im Programm ~Etiketten-Layout;Erroneous layout: Adjustment in program ~Label-layout;-;-;-;Felaktig layout: åtgärda i progammet ~Etikett-layout;
FEHLERNR;ERRORNR;-;-;-;FELNR;
FehlerNr;Error No;-;-;-;Felnummer;
Feiertag;Bank holiday;-;Día festivo;-;Helgdag;
Feinplanung;Production Scheduler;-;-;-;Finplanering;
Feld;field;-;-;-;Fält;
Feld sichtbar;Feld viewable;Felt synligt;-;-;Fält synligt;
Feldinhalt;Field content;Feltindhold;-;-;Fältinnehåll;
Feldname;Field name;Feltnavn;-;-;Fältnamn;
FELDNAME;FIELDNAME;-;-;-;FÄLTNAMN;
Fenster öffnen, wenn die Daten gelesen werden;Open window to read data;-;-;-;Öppna fönster för att läsa datan;
Fenster Standard;Window deError;-;-;-;Fönster standard;
Fertigteile;Good parts;-;-;-;Färdiga delar;
Fertigungsauftrag;Job no;-;-;-;Produktionsuppdrag;
Fertigungsauftrag drucken;Print job;-;-;-;Skriv ut produktionsuppdrag;
Fertigungszeit Ist;Cur. runtime;-;-;-;Produktionstid Är;
Fertigungszeit Soll;Set runtime;-;-;-;Produktionstid Bör;
fest;Fixed;-;-;-;fixerat;
Festdatum;Fixed date;-;-;-;Fast datum;
File;File;-;-;-;Fil;
Filter;Filter;-;-;-;Filter;
Filter: 1 min;Filter: 1 min;-;-;-;Filter: 1 min;
Firma;Firm;Firma;-;-;Företag;
Firmenbezeichnung Kunde;Compny descritpion customer;-;-;-;Företagsbeteckning kund;
Firmenbezeichnung Kunde Zusatz;Company description customer appendix;-;-;-;Företagsbeteckning kund tillsats;
Firmenbezeichung Standort/Werk;Company description location/plant;-;-;-;Företagsbeteckning säte/verk;
Firmenname;Company name;Firmanavn;-;-;Företagsnamn;
First;First;-;-;-;Först;
fix;fix;-;-;-;-;
FixedChar;FixedChar;-;-;-;FixedChar;
FKT;FCT;-;-;-;FKT;
Float;Float;-;-;-;Float;
FMTBcd;FMTBcd;-;-;-;FMTBcd;
FmtMemo;FmtMemo;-;-;-;FmtMemo;
Folgeauftrag Autostart;Following job - automatic start;-;-;-;-;
Folgeauftrag festgesetzt;Following job fixed;-;-;-;Följeuppdrag fixerat;
Folgeaufträge;Following jobs;-;-;-;-;
Folgefehler;Sequence Errors;Følgefejl;-;-;Följdfel;
Folgende 2 Wochen;Following 2 weeks;-;-;-;Följande två veckor;
Folgende 3 Monate;Following 3 months;Følgende 3 måneder;-;-;Följande tre månader;
Folgende 3 Tage;Following 3 days;Følgende 3 dage;-;-;Följande tre dagar;
Folgende Anwendungen sind freigeschaltet;These applications are enabled;-;-;-;Följande applikationer är frisläppta;
Folgende Beispieleinträge  währen  zuläßig;The following sample entries are valid;-;-;-;Följande exempelposter vore tillåtna;
Folgende Beispieleinträge währen zuläßig;The following sample entries are valid;-;-;-;Följande exempelposter vore tillåtna;
Folgende Periode;Following period;-;-;-;-;
Folgende Stunde;Following hour;-;-;-;Följande timme;
Folgende Tag;Following day;Følgende dag;-;-;Följande dag;
Folgende Woche;Following week;Følgende uge;-;-;Följande vecka;
Folgender Monat;Following month;-;-;-;Följande månad;
Folgender Tag;Following day;-;-;-;Följande dag;
Form;Shape;Form;-;-;Form;
FORM;FORM;-;-;-;FORM;
