DE;EN;DA;ES;CS;SV;
Aktueller Bestand;Current stock;Aktuelt beholdning;-;Aktuální stav;Aktuellt bestånd;
aktueller Monat;curr. month;-;-;-;-;
aktueller Tag;curr. day;-;-;-;-;
Aktueller Zyklus;Current cycle;-;-;-;-;
aktuelles Jahr;curr. year;-;-;-;-;
Aktuellzyklus;Current cycle;-;-;-;-;
Alle;All;Alle;-;Všechny;Alla;
alle;All;-;-;-;alla;
Alle Arbeitsgänge freigeben;Release all stages of work;-;-;Uvolnit všechny pracovní operace;Frisläpp alla arbetsgångar;
Alle Aufträge;all Jobs;-;-;Všechny zakázky;Alla uppdrag;
Alle Aufträge sind freigegeben;All Jobs are released;-;-;Všechny zakázky jsou uvolneny;Alla uppdrag har frisläppts;
Alle Aufträge terminieren;Schedule all jobs;-;-;Všechny zakázky naplánovat;Planera alla uppdrag;
Alle Daten löschen;Delete all data;Slette alle data;-;Vymazat všechna data;Radera all data;
Alle Datensätze löschen;Delete all Data records;-;-;Vymazat všechny datové vety;Radera alla &datasatser;
Alle drucken;Print all;-;-;Vytisknout vše;Skriv ut alla;
Alle geplanten Aufträge werden terminiert;All jobs will be scheduled;Alle planerede ordre scheduleret;-;Všechny plánované zakázky termínovat;Alla planerade uppdrag termineras;
Alle Jobs anzeigen;Show all jobs;-;-;Zobrazit všechny práce;Visa alla jobb;
Alle Jobs löschen;Delete all jobs;-;-;-;-;
Alle laufenden Aufträge werden terminiert;All running jobs will be scheduled;Alle løbende ordre bliver scheduleret;-;vše probíhající jsou natermínovány;Alla löpande uppdrag termineras;
Alle löschen;Delete all;Slet alt;-;Všechny vymazat;Radera alla;
Alle Maschinen;All machines;Alle maskiner;Todos Maquinas;Všechny stroje;Alla maskiner;
alle Maschinen;all Machines;-;-;-;alla maskiner;
alle Signale allen Maschinen zuordnen;allocate all signals to all machines;-;-;-;tillordna alla signaler till alla maskiner;
Alle Signale laden;Load all signals;-;-;-;Ladda alla signaler;
alle Signale löschen;Delete all signals;-;-;-;radera alla signaler;
Alle Stillstände anzeigen;Show all downtimes;Vis alle stilstande;-;Zobrazit všechny prostoje;Visa alla stillestånd;
Alle Teiledaten ansehen;Show all part data;-;Datos de piezas todos;Náhled na všechna data o dílu;Visa all deldata;
Alle Zuordnungen löschen;Delete all allocations;-;-;Vymazat všechna nastavení;Radera alla tillordningar;
allen Maschinen zuordnen;allocate to all machines;-;-;-;tillordna till alla maskiner;
Alles;All;Alt;-;Všechno;Allt;
Alles drucken;Print all;-;-;-;-;
Alles Drucken;Print All;-;-;-;-;
Allgemein;General;Generel;-;Všeobecne;Allmänt;
